ref,station_distance,pub_date,studio,n_rooms,area,floor,mcc,circle,center_distance,y
/moskva/kvartiry/2-k_kvartira_35_m_1717_et._1944848344,18,2020-08-05,0,2,35,17,0,0,20.28006401482817,0.7142857142857143
/moskva/kvartiry/2-k_kvartira_35_m_2025_et._1915480393,9,2020-08-04,0,2,35,20,0,0,19.189259057076622,1.2857142857142858
/moskva/kvartiry/2-k_kvartira_35_m_214_et._1979098529,17,2020-08-03,0,2,35,2,0,0,12.833674364295671,1.0
/moskva/kvartiry/2-k_kvartira_35_m_28_et._1905287045,4,2020-08-03,0,2,35,2,0,0,2.350441672322792,1.7714285714285714
/moskva/kvartiry/2-k_kvartira_35_m_29_et._1966230405,22,2020-08-05,0,2,35,2,0,0,12.844090430537948,1.0
/moskva/kvartiry/2-k_kvartira_35_m_29_et._1973316319,16,2020-08-10,0,2,35,2,0,0,12.833674364295671,0.7142857142857143
/moskva/kvartiry/2-k_kvartira_35_m_39_et._1968629765,5,2020-08-11,0,2,35,3,0,1,2.8209813573920344,2.0
/moskva/kvartiry/2-k_kvartira_35_m_412_et._1994318719,14,2020-08-14,0,2,35,4,0,0,9.880492727191683,0.6857142857142857
/moskva/kvartiry/2-k_kvartira_35_m_45_et._1965832456,2,2020-08-12,0,2,35,4,0,1,2.5891369923902463,1.4285714285714286
/moskva/kvartiry/2-k_kvartira_35_m_48_et._1980298733,3,2020-08-13,0,2,35,4,0,0,2.3450111132848006,2.0
/moskva/kvartiry/2-k_kvartira_35_m_57_et._1952821019,16,2020-08-01,0,2,35,5,0,0,15.272748462756109,1.4285714285714286
/moskva/kvartiry/2-k_kvartira_35_m_59_et._1798727588,2,2020-08-08,0,2,35,5,0,0,8.854535352572697,1.4285714285714286
/moskva/kvartiry/2-k_kvartira_35_m_59_et._1832062835,7,2020-08-13,0,2,35,5,0,0,3.1260312587717536,1.4857142857142858
/moskva/kvartiry/2-k_kvartira_35_m_59_et._1969079712,12,2020-08-03,0,2,35,5,0,0,10.477097307352325,1.0571428571428572
/moskva/kvartiry/2-k_kvartira_35_m_59_et._1979692399,12,2020-08-06,0,2,35,5,0,0,6.45954094029812,1.1428571428571428
/moskva/kvartiry/2-k_kvartira_35_m_59_et._597677756,8,2020-08-04,0,2,35,5,0,0,6.990554482151013,1.1428571428571428
/moskva/kvartiry/2-k_kvartira_35_m_69_et._1264092907,6,2020-08-05,0,2,35,6,0,0,9.207817966979363,1.2285714285714286
/moskva/kvartiry/2-k_kvartira_35_m_69_et._1855365058,9,2020-08-11,0,2,35,6,1,0,10.980569560542696,0.8571428571428571
/moskva/kvartiry/2-k_kvartira_35_m_69_et._1940240497,13,2020-08-09,0,2,35,6,0,0,10.34751529893556,1.1428571428571428
/moskva/kvartiry/2-k_kvartira_35_m_69_et._1983778359,16,2020-08-07,0,2,35,6,1,0,11.149641237333775,1.1428571428571428
